# pin=93b00b89ef425a9c1bac0d0b317dfc49c930ac99
# tip=7366ac128bdf95f45e6734f412b49a4031800169
path	change	bucket	note
skills/typescript-best-practices/references/patterns.md	M	port	Density pass on constructive types, unknown, guards, exhaustiveness.
README.md	M	host-owned	Adapter README. Upstream 23 playbooks/principles, opening-a-pr, todo first items. Do not copy Cursor install or Fable.
skills/blast-radius/SKILL.md	M	port	Density pass on proof language. Keep why/arena routing.
skills/principle-attack-the-premise/SKILL.md	A	port	New principle leaf. No Fable slugs.
skills/principle-encode-lessons-in-structure/SKILL.md	M	port	Strongest-mechanism wording. Density pass.
skills/principle-foundational-thinking/SKILL.md	M	port	Trim option-value and data-shape asides.
skills/principle-migrate-callers-then-delete-legacy-apis/SKILL.md	M	port	Drop alive from the legacy-API rule.
skills/principle-never-block-on-the-human/SKILL.md	M	port	Density pass. Keep irreversible-action boundary.
skills/principle-separate-before-serializing-shared-state/SKILL.md	M	port	Sentence splits. Keep structural serialization.
skills/principle-test-behavior-not-implementation/SKILL.md	A	port	New principle leaf. No Fable slugs.
skills/setup-pstack/SKILL.md	M	audit	Cursor Task/Fable/how-critics trim vs local Grok ~/.grok overlays. Merge by hand.
skills/tdd/SKILL.md	M	audit	Grok spawn already mapped. 0.15.1 density not copied this refresh.
skills/unslop/SKILL.md	M	port	Drop soul/puffery rules. Add 32 mannered prose and 33 over-compression. Keep stable ids.
skills/how/SKILL.md	M	audit	Keep critique mode and pstack:how-* spawn. Upstream dropped critics and uses generalPurpose plus Fable slugs.
skills/how/references/critic-prompt.md	D	host-owned	Upstream delete. Grok still ships how-critics.
skills/how/references/critique-rubric.md	D	host-owned	Upstream delete. Grok still ships how-critics.
skills/how/references/explainer-prompt.md	M	port	Prose density. Retain Grok spawn names in how SKILL, not Fable slugs.
skills/how/references/explorer-prompt.md	M	port	Prose density. Retain pstack:how-explorer.
skills/interrogate/SKILL.md	M	port	Shared intent. Keep pstack:interrogate-reviewers. No Fable table or Task tool.
skills/interrogate/references/code-quality-review.md	M	port	Prose density. Shared review bar.
skills/interrogate/references/lead-judgment.md	M	port	Prose density. Shared lead-judgment frame.
skills/interrogate/references/rubric.md	M	port	Prose density. Shared rubric.
skills/architect/SKILL.md	M	audit	Grok spawn already mapped. 0.15.1 density not copied this refresh.
skills/architect/references/rationale-template.md	M	port	Prose density. Shared rationale shape.
skills/architect/references/runner-prompt.md	M	port	Prose density. Shared runner brief.
skills/arena/SKILL.md	M	audit	Grok spawn already mapped. 0.15.1 density not copied this refresh.
skills/figure-it-out/SKILL.md	M	audit	Grok spawn already mapped. 0.15.1 density not copied this refresh.
skills/principle-boundary-discipline/SKILL.md	M	port	Prose density. Shared principle leaf.
skills/principle-experience-first/SKILL.md	M	port	Prose density. Shared principle leaf.
skills/principle-guard-the-context-window/SKILL.md	M	port	Prose density. Shared principle leaf.
skills/principle-minimize-reader-load/SKILL.md	M	port	Prose density. Shared principle leaf.
skills/principle-prove-it-works/SKILL.md	M	port	Prose density. Shared principle leaf.
skills/principle-sequence-verifiable-units/SKILL.md	M	port	Prose density. Shared principle leaf.
skills/principle-type-system-discipline/SKILL.md	M	port	Prose density. Shared principle leaf.
skills/show-me-your-work/SKILL.md	M	port	Prose density. Keep Grok spawn and transcript path. Do not take Cursor ~/.cursor/projects glob as default.
skills/teach/SKILL.md	M	port	Prose density. Shared teaching skill.
